,return_1m,turn_1m,std_1m,std_FF3factor_1m
2021-02-26,0.022508695755861566,-0.19089475310248824,-0.22742333121977398,-0.20348918354149534
2021-03-31,-0.11104010611775623,-0.10775602177191736,-0.06333994320433184,-0.06952866465750088
2021-04-30,0.06599329991313611,0.15033511674009703,0.13087233398617598,0.09898535862867774
2021-05-31,0.0001464623872061554,-0.05322609806570285,-0.015075263763684801,-0.02049496209294148
2021-06-30,0.07046699908850929,0.02683654343682113,0.0010897226762702054,-0.013589423395844978
2021-07-30,-0.012703159801232853,-0.06409631473857265,-0.0981080467101144,-0.09787583477021877
2021-08-31,-0.1388662471252554,-0.1802289705651156,-0.22107644771943427,-0.22024221421105097
2021-09-30,-0.11412712420031865,-0.0848769994935391,-0.051620056644567834,-0.02659043479569497
2021-10-29,-0.14784989560708658,-0.08211525295161164,-0.061174712652903786,-0.08307356433649261
2021-11-30,-0.10284546434893813,-0.1973834498387841,-0.2891693786583006,-0.2954112426225755
2021-12-31,0.021185467088091228,-0.2283242603450628,-0.2846817100928518,-0.2770860236913089
2022-01-28,-0.04003469316222249,0.11255542782814792,0.03977874293543518,-0.00798401057081513
2022-02-28,0.08637707474507064,0.06309003826079965,-0.028329403659889833,-0.07356322926933107
2022-03-31,-0.0567217629720145,-0.21696896875434019,-0.18016749101490984,-0.16831398387867796
2022-04-29,-0.184240556330444,-0.0008010304782168187,0.07008759465617773,-0.04641097305819322
2022-05-31,-0.0006550183395369496,-0.05623284178638407,-0.05030187884874982,-0.09003803765924565
2022-06-30,-0.118011741190705,-0.022754195030569885,-0.04211921090256481,-0.04993750637087008
2022-07-29,-0.09048510012192819,-0.18491436254053265,-0.20107627021760302,-0.18902379288581642
2022-08-31,-0.002008619938309767,-0.17691517861389527,-0.1313903349207333,-0.10897996283227587
2022-09-30,-0.09615275213774163,-0.04019411804579786,-0.0760496007034019,-0.10697693483212524
2022-10-31,-0.2392420361374301,-0.01657248840337127,-0.07869377175831938,-0.08303369342529131
2022-11-30,-0.0931646328232995,-0.14063534859722945,-0.10206721558197883,-0.10017910222443036
2022-12-30,-0.24941899040324741,-0.059472761123280815,-0.09684763426431112,-0.13287570102406124
2023-01-31,-0.06702493903269202,-0.16157382539758566,-0.2312158060787908,-0.21566214407395126
2023-02-28,0.09909181512331106,-0.12721975543233432,-0.11977686975302061,-0.1463368163290696
2023-03-31,0.07741571572896308,-0.05406470022718615,-0.0289437626913367,-0.018340115978945623
